iter	Passed	Remaining
166	476	2378
167	478	2370
168	480	2364
169	482	2357
170	485	2351
171	487	2344
172	488	2336
173	492	2336
174	494	2329
175	495	2321
176	497	2315
177	500	2310
178	502	2304
179	504	2297
180	506	2293
181	508	2287
182	510	2281
183	512	2272
184	514	2264
185	517	2263
186	519	2257
187	521	2252
188	523	2247
189	525	2240
190	527	2233
191	529	2228
192	531	2221
193	533	2214
194	536	2212
195	537	2205
196	539	2197
197	541	2195
198	543	2187
199	544	2178
200	545	2170
201	547	2162
202	548	2154
203	549	2145
204	550	2136
205	552	2127
206	553	2121
207	555	2113
208	556	2105
209	557	2098
210	559	2090
211	560	2082
212	561	2074
213	562	2066
214	563	2058
215	565	2051
216	566	2044
217	567	2037
218	568	2029
219	570	2021
220	572	2017
221	574	2012
222	576	2007
223	578	2003
224	581	2002
225	582	1995
226	584	1989
227	587	1987
228	588	1981
229	590	1976
230	591	1970
231	593	1964
232	594	1957
233	595	1950
234	596	1943
235	598	1938
236	599	1931
237	600	1923
238	601	1915
239	603	1911
240	604	1903
241	605	1896
242	606	1889
243	607	1882
244	608	1874
245	609	1867
246	610	1861
247	611	1854
248	612	1847
249	613	1840
250	614	1833
251	615	1827
252	616	1821
253	617	1814
254	618	1808
255	619	1801
256	621	1796
257	622	1790
258	623	1784
259	624	1778
260	625	1771
261	627	1766
262	628	1760
263	629	1755
264	630	1749
265	631	1743
266	632	1736
267	633	1731
268	635	1725
269	636	1720
270	637	1714
271	638	1708
272	639	1701
273	640	1696
274	641	1691
275	642	1685
276	643	1680
277	645	1676
278	646	1671
279	648	1666
280	649	1661
281	650	1655
282	651	1649
283	652	1644
284	653	1640
285	654	1634
286	655	1628
287	656	1622
288	657	1617
289	658	1613
290	659	1607
291	660	1602
292	661	1596
293	662	1591
294	663	1585
295	664	1580
296	665	1575
297	666	1569
298	667	1564
299	667	1558
300	668	1553
301	669	1548
302	670	1543
303	671	1538
304	672	1533
305	673	1528
306	674	1523
307	675	1518
308	676	1513
309	678	1509
310	679	1504
311	680	1499
312	681	1494
313	682	1490
314	683	1485
315	685	1483
316	686	1479
317	687	1474
318	688	1469
319	689	1464
320	690	1460
321	691	1455
322	692	1451
323	693	1446
324	693	1441
325	694	1436
326	696	1432
327	697	1428
328	697	1423
329	698	1418
330	699	1413
331	700	1409
332	701	1404
333	702	1401
334	703	1396
335	704	1392
336	705	1387
337	706	1383
338	707	1378
339	708	1374
340	709	1370
341	710	1366
342	710	1361
343	711	1357
344	712	1352
345	713	1348
346	714	1345
347	715	1340
348	716	1336
349	717	1332
350	718	1328
351	719	1323
352	720	1319
353	720	1315
354	721	1311
355	722	1307
356	723	1303
357	724	1299
358	725	1295
359	726	1291
360	727	1288
361	729	1285
362	730	1281
363	730	1277
364	731	1273
365	732	1268
366	733	1265
367	734	1261
368	735	1257
369	735	1253
370	736	1248
371	737	1245
372	738	1241
373	739	1237
374	740	1234
375	741	1230
376	742	1226
377	743	1222
378	743	1218
379	744	1214
380	745	1211
381	746	1207
382	747	1203
383	748	1200
384	748	1196
385	749	1192
386	750	1189
387	751	1186
388	752	1182
389	753	1178
390	754	1175
391	755	1171
392	756	1168
393	757	1165
394	759	1162
395	760	1159
396	760	1155
397	761	1152
398	762	1148
399	763	1145
400	764	1142
401	765	1139
402	766	1136
403	767	1132
404	768	1129
405	769	1125
406	770	1122
407	771	1119
408	772	1116
409	773	1112
410	774	1109
411	775	1106
412	775	1102
413	777	1099
414	778	1096
415	779	1093
416	779	1090
417	780	1087
418	781	1084
419	782	1081
420	784	1078
421	785	1076
422	786	1072
423	787	1069
424	788	1066
425	789	1063
426	790	1060
427	791	1057
428	792	1054
429	793	1051
430	794	1048
431	795	1045
432	796	1043
433	797	1040
434	798	1037
435	799	1034
436	800	1031
437	801	1028
438	802	1026
439	804	1023
440	804	1020
441	805	1017
442	806	1014
443	808	1012
444	809	1009
445	810	1006
446	811	1003
447	812	1001
448	813	998
449	814	995
450	815	992
451	816	989
452	817	987
453	818	984
454	819	981
455	820	978
456	821	975
457	822	972
458	823	970
459	823	967
460	824	964
461	825	961
462	826	958
463	827	956
464	828	953
465	829	950
466	830	948
467	831	945
468	832	942
469	833	940
470	834	937
471	835	934
472	836	932
473	837	929
474	838	926
475	839	924
476	840	921
477	841	919
478	842	916
479	843	913
480	844	911
481	845	908
482	846	906
483	847	903
484	848	901
485	849	898
486	850	896
487	852	893
488	853	891
489	854	888
490	855	886
491	856	883
492	856	881
493	857	878
494	858	876
495	859	873
496	860	871
497	861	868
498	862	865
499	863	863
500	864	861
501	866	859
502	867	856
503	868	854
504	868	851
505	869	849
506	870	846
507	872	844
508	873	842
509	874	839
510	875	837
511	875	834
512	877	832
513	878	830
514	879	827
515	880	825
516	881	823
517	882	820
518	883	818
519	884	816
520	885	814
521	886	811
522	887	809
523	888	806
524	889	804
525	890	802
526	891	799
527	892	797
528	893	795
529	894	792
530	895	790
531	896	788
532	897	786
533	898	784
534	899	781
535	900	779
536	901	776
537	901	774
538	903	772
539	904	770
540	904	767
541	905	765
542	906	762
543	906	760
544	907	757
545	908	755
546	910	753
547	910	751
548	911	749
549	912	746
550	913	744
551	914	742
552	915	740
553	916	737
554	917	735
555	918	733
556	919	731
557	920	729
558	921	726
559	922	724
560	923	722
561	923	720
562	924	717
563	925	715
564	926	713
565	938	719
566	939	717
567	940	714
568	941	712
569	942	710
570	942	708
571	943	706
572	944	704
573	945	701
574	946	699
575	947	697
576	948	695
577	949	693
578	950	690
579	950	688
580	951	686
581	952	684
582	953	682
583	954	680
584	955	678
585	956	675
586	957	673
587	958	671
588	959	669
589	960	667
590	961	665
591	962	663
592	962	660
593	963	658
594	964	656
595	965	654
596	966	652
597	967	650
598	968	648
599	969	646
600	970	644
601	970	641
602	971	639
603	973	637
604	973	635
605	974	633
606	975	631
607	976	629
608	976	627
609	977	625
610	979	623
611	980	621
612	980	619
613	981	617
614	982	615
615	983	612
616	984	610
617	985	608
618	986	606
619	986	604
620	987	602
621	988	600
622	989	598
623	989	596
624	990	594
625	991	592
626	992	590
627	993	588
628	994	586
629	995	584
630	995	582
631	996	580
632	997	578
633	998	576
634	999	574
635	1000	572
636	1001	570
637	1001	568
638	1002	566
639	1003	564
640	1004	562
641	1005	560
642	1006	558
643	1007	556
644	1008	554
645	1009	552
646	1010	551
647	1010	549
648	1011	547
649	1012	545
650	1013	543
651	1014	541
652	1016	540
653	1018	538
654	1019	536
655	1020	535
656	1021	533
657	1022	531
658	1023	529
659	1024	527
660	1025	525
661	1026	523
662	1026	521
663	1027	520
664	1029	518
665	1030	516
666	1031	515
667	1032	513
668	1034	511
669	1036	510
670	1037	508
671	1038	506
672	1039	505
673	1040	503
674	1042	501
675	1043	500
676	1045	498
677	1046	497
678	1048	495
679	1049	494
680	1050	492
681	1052	490
682	1053	488
683	1055	487
684	1057	486
685	1058	484
686	1060	483
687	1061	481
688	1062	479
689	1063	477
690	1067	477
691	1068	475
692	1069	473
693	1070	472
694	1072	470
695	1073	468
696	1074	467
697	1076	465
698	1077	463
699	1079	462
700	1081	461
701	1082	459
702	1084	458
703	1085	456
704	1088	455
705	1090	454
706	1092	452
707	1094	451
708	1096	450
709	1098	448
710	1099	446
711	1100	445
712	1102	443
713	1103	441
714	1104	440
715	1105	438
716	1107	436
717	1108	435
718	1109	433
719	1110	431
720	1111	430
721	1112	428
722	1113	426
723	1115	425
724	1116	423
725	1117	421
726	1118	419
727	1119	418
728	1120	416
729	1121	414
730	1122	413
731	1123	411
732	1125	409
733	1126	408
734	1127	406
735	1128	404
736	1130	403
737	1131	401
738	1132	399
739	1133	398
740	1134	396
741	1135	394
742	1136	393
743	1137	391
744	1138	389
745	1139	388
746	1141	386
747	1142	384
748	1142	383
749	1143	381
750	1144	379
751	1145	377
752	1146	376
753	1147	374
754	1148	372
755	1149	370
756	1150	369
757	1151	367
758	1152	365
759	1154	364
760	1155	362
761	1156	361
762	1157	359
763	1158	357
764	1159	356
765	1160	354
766	1161	352
767	1162	351
768	1163	349
769	1164	347
770	1165	346
771	1166	344
772	1167	342
773	1168	341
774	1169	339
775	1170	337
776	1171	336
777	1173	334
778	1174	333
779	1175	331
780	1176	329
781	1177	328
782	1178	326
783	1179	324
784	1180	323
785	1181	321
786	1182	320
787	1183	318
788	1184	316
789	1185	315
790	1186	313
791	1187	311
792	1188	310
793	1189	308
794	1190	307
795	1191	305
796	1193	303
797	1194	302
798	1196	300
799	1197	299
800	1198	297
801	1199	296
802	1199	294
803	1201	292
804	1202	291
805	1202	289
806	1203	287
807	1204	286
808	1205	284
809	1206	283
810	1207	281
811	1208	279
812	1209	278
813	1210	276
814	1210	274
815	1211	273
816	1212	271
817	1213	270
818	1214	268
819	1216	267
820	1217	265
821	1218	263
822	1219	262
823	1220	260
824	1221	259
825	1222	257
826	1223	255
827	1224	254
828	1224	252
829	1225	251
830	1226	249
831	1227	247
832	1228	246
833	1229	244
834	1230	243
835	1231	241
836	1232	240
837	1233	238
838	1234	236
839	1235	235
840	1236	233
841	1237	232
842	1238	230
843	1239	229
844	1240	227
845	1241	225
846	1241	224
847	1242	222
848	1243	221
849	1244	219
850	1245	218
851	1246	216
852	1247	214
853	1248	213
854	1249	211
855	1249	210
856	1250	208
857	1251	207
858	1252	205
859	1253	204
860	1254	202
861	1255	200
862	1255	199
863	1256	197
864	1257	196
865	1258	194
866	1259	193
867	1260	191
868	1261	190
869	1262	188
870	1263	187
871	1264	185
872	1265	184
873	1266	182
874	1267	181
875	1267	179
876	1268	177
877	1269	176
878	1270	174
879	1271	173
880	1272	171
881	1273	170
882	1274	168
883	1274	167
884	1275	165
885	1276	164
886	1277	162
887	1278	161
888	1279	159
889	1280	158
890	1281	156
891	1282	155
892	1283	153
893	1284	152
894	1285	150
895	1286	149
896	1286	147
897	1287	146
898	1288	144
899	1289	143
900	1290	141
901	1291	140
902	1292	138
903	1293	137
904	1294	135
905	1295	134
906	1296	132
907	1297	131
908	1298	129
909	1298	128
910	1299	126
911	1300	125
912	1302	124
913	1303	122
914	1304	121
915	1305	119
916	1306	118
917	1306	116
918	1307	115
919	1308	113
920	1310	112
921	1311	110
922	1312	109
923	1313	108
924	1314	106
925	1315	105
926	1316	103
927	1317	102
928	1318	100
929	1319	99
930	1320	97
931	1321	96
932	1322	94
933	1323	93
934	1324	92
935	1325	90
936	1326	89
937	1326	87
938	1327	86
939	1329	84
940	1330	83
941	1331	81
942	1332	80
943	1332	79
944	1333	77
945	1334	76
946	1335	74
947	1336	73
948	1337	71
949	1338	70
950	1339	69
951	1340	67
952	1341	66
953	1341	64
954	1342	63
955	1343	61
956	1344	60
957	1345	58
958	1346	57
959	1347	56
960	1348	54
961	1349	53
962	1350	51
963	1350	50
964	1351	49
965	1352	47
966	1353	46
967	1354	44
968	1355	43
969	1356	41
970	1357	40
971	1358	39
972	1359	37
973	1360	36
974	1361	34
975	1361	33
976	1362	32
977	1363	30
978	1364	29
979	1365	27
980	1366	26
981	1367	25
982	1368	23
983	1368	22
984	1369	20
985	1370	19
986	1371	18
987	1372	16
988	1373	15
989	1374	13
990	1375	12
991	1375	11
992	1377	9
993	1378	8
994	1379	6
995	1380	5
996	1381	4
997	1382	2
998	1382	1
999	1384	0
